Treinamento iniciado em 2025-05-22 12:54:41.406918
Episódio 94: Recompensa=18.20, Passos=10, Epsilon=0.385
Episódio 95: Recompensa=6.40, Passos=20, Epsilon=0.381
Episódio 96: Recompensa=16.80, Passos=17, Epsilon=0.377
Episódio 97: Recompensa=17.60, Passos=13, Epsilon=0.373
Episódio 98: Recompensa=16.80, Passos=17, Epsilon=0.370
Episódio 99: Recompensa=17.60, Passos=13, Epsilon=0.366
Episódio 100: Recompensa=17.40, Passos=14, Epsilon=0.362
Episódio 101: Recompensa=7.80, Passos=13, Epsilon=0.359
Episódio 102: Recompensa=18.20, Passos=10, Epsilon=0.355
Episódio 103: Recompensa=-53.00, Passos=23, Epsilon=0.352
Episódio 104: Recompensa=18.40, Passos=9, Epsilon=0.348
Episódio 105: Recompensa=18.00, Passos=11, Epsilon=0.345
Episódio 106: Recompensa=8.00, Passos=12, Epsilon=0.341
Episódio 107: Recompensa=-3.20, Passos=19, Epsilon=0.338
Episódio 108: Recompensa=18.60, Passos=8, Epsilon=0.334
Episódio 109: Recompensa=7.40, Passos=15, Epsilon=0.331
Episódio 110: Recompensa=18.00, Passos=11, Epsilon=0.328
Episódio 111: Recompensa=18.20, Passos=10, Epsilon=0.324
Episódio 112: Recompensa=17.00, Passos=16, Epsilon=0.321
Episódio 113: Recompensa=8.40, Passos=10, Epsilon=0.318
Episódio 114: Recompensa=17.80, Passos=12, Epsilon=0.315
Episódio 115: Recompensa=18.00, Passos=11, Epsilon=0.312
Episódio 116: Recompensa=18.00, Passos=11, Epsilon=0.309
Episódio 117: Recompensa=-11.80, Passos=13, Epsilon=0.305
Episódio 118: Recompensa=18.60, Passos=8, Epsilon=0.302
Episódio 119: Recompensa=17.80, Passos=12, Epsilon=0.299
Episódio 120: Recompensa=16.60, Passos=18, Epsilon=0.296
Episódio 121: Recompensa=18.20, Passos=10, Epsilon=0.293
Episódio 122: Recompensa=18.60, Passos=8, Epsilon=0.290
Episódio 123: Recompensa=18.40, Passos=9, Epsilon=0.288
Episódio 124: Recompensa=18.60, Passos=8, Epsilon=0.285
Episódio 125: Recompensa=18.40, Passos=9, Epsilon=0.282
Episódio 126: Recompensa=16.40, Passos=19, Epsilon=0.279
Episódio 127: Recompensa=18.60, Passos=8, Epsilon=0.276
Episódio 128: Recompensa=18.20, Passos=10, Epsilon=0.273
Episódio 129: Recompensa=17.20, Passos=15, Epsilon=0.271
Episódio 130: Recompensa=16.60, Passos=18, Epsilon=0.268
Episódio 131: Recompensa=18.60, Passos=8, Epsilon=0.265
Episódio 132: Recompensa=18.60, Passos=8, Epsilon=0.263
Episódio 133: Recompensa=18.40, Passos=9, Epsilon=0.260
Episódio 134: Recompensa=18.20, Passos=10, Epsilon=0.257
Episódio 135: Recompensa=18.00, Passos=11, Epsilon=0.255
Episódio 136: Recompensa=18.60, Passos=8, Epsilon=0.252
Episódio 137: Recompensa=17.80, Passos=12, Epsilon=0.250
Episódio 138: Recompensa=17.60, Passos=13, Epsilon=0.247
Episódio 139: Recompensa=17.20, Passos=15, Epsilon=0.245
Episódio 140: Recompensa=18.40, Passos=9, Epsilon=0.242
Episódio 141: Recompensa=18.60, Passos=8, Epsilon=0.240
Episódio 142: Recompensa=17.60, Passos=13, Epsilon=0.238
Episódio 143: Recompensa=17.00, Passos=16, Epsilon=0.235
Episódio 144: Recompensa=8.20, Passos=11, Epsilon=0.233
Episódio 145: Recompensa=18.60, Passos=8, Epsilon=0.231
Episódio 146: Recompensa=18.00, Passos=11, Epsilon=0.228
Episódio 147: Recompensa=18.40, Passos=9, Epsilon=0.226
Episódio 148: Recompensa=17.60, Passos=13, Epsilon=0.224
Episódio 149: Recompensa=18.00, Passos=11, Epsilon=0.221
Episódio 150: Recompensa=18.60, Passos=8, Epsilon=0.219
Episódio 151: Recompensa=17.00, Passos=16, Epsilon=0.217
Episódio 152: Recompensa=18.40, Passos=9, Epsilon=0.215
Episódio 153: Recompensa=17.40, Passos=14, Epsilon=0.213
Episódio 154: Recompensa=18.60, Passos=8, Epsilon=0.211
Episódio 155: Recompensa=18.60, Passos=8, Epsilon=0.208
